"name","city","review_count","elite_reviews","avg_rating"
"eegee's","Tucson","1174","375","3.31"
"Wawa","Philadelphia","840","345","3.11"
"sweetgreen","Philadelphia","646","285","3.83"
"Imo's Pizza","Saint Louis","1080","274","2.72"
"Lincoln Square Pancake House","Indianapolis","682","273","4.36"
"McDonald's","Indianapolis","1221","267","1.71"
"In-N-Out Burger","Tucson","580","262","3.93"
"Chipotle Mexican Grill","Tampa","1030","253","2.36"
"Chipotle Mexican Grill","Philadelphia","873","242","2.52"
"Panera Bread","Tampa","634","239","2.96"
"Steak ’n Shake","Indianapolis","898","235","2.24"
"First Watch","Tampa","747","232","4.02"
"Panera Bread","Indianapolis","623","224","2.67"
"Sauce Pizza & Wine","Tucson","575","209","4.07"
"Chick-fil-A","Indianapolis","452","208","4.03"
"Baggin's Gourmet Sandwiches","Tucson","636","206","3.48"
"Chick-fil-A","Tampa","749","205","2.83"
"McAlister's Deli","Indianapolis","474","205","3.44"
"City Barbeque","Indianapolis","563","197","3.98"
"Chipotle Mexican Grill","Indianapolis","477","196","2.98"
"McDonald's","Tucson","1124","194","1.82"
"McDonald's","Tampa","1029","192","1.87"
"Buffalo Wild Wings","Indianapolis","760","190","1.95"
"Remedy Cafe","Edmonton","418","189","3.76"
"Earls Kitchen + Bar","Edmonton","501","187","3.29"
"Wawa","Tampa","368","186","3.51"
"Boston Pizza","Edmonton","483","184","2.77"
"Indianapolis City Market","Indianapolis","230","183","4.10"
"Le Peep Restaurant","Indianapolis","418","176","3.51"
"Taco Bell","Indianapolis","834","176","1.94"
"Metropolitan Bakery","Philadelphia","403","170","3.83"
"Brothers Bar & Grill","Indianapolis","335","166","3.01"
"First Watch","Tucson","679","166","4.22"
"Cafe Du Monde","Metairie","346","165","4.23"
"Yats","Indianapolis","460","165","4.36"
"Five Guys","Indianapolis","357","163","3.89"
"Miss Saigon","Tucson","453","163","3.89"
"Native Grill & Wings","Tucson","744","163","2.64"
"Willie's Chicken Shack","New Orleans","419","159","3.70"
"Bruegger's Bagels","Tucson","441","158","3.12"
"Jimmy John's","Indianapolis","498","157","2.69"
"PrimoHoagies","Philadelphia","525","157","3.60"
"Chipotle Mexican Grill","Tucson","607","156","2.85"
"Chili's","Tampa","587","155","2.60"
"QDOBA Mexican Eats","Indianapolis","484","153","2.53"
"Waffle House","Nashville","591","152","3.35"
"Starbucks","Tampa","353","151","3.28"
"Chick-fil-A","Philadelphia","428","150","3.46"
"Tijuana Flats","Tampa","451","150","3.58"
"Starbucks","Tucson","368","145","3.19"
"Biden Welcome Center","Newark","225","144","3.65"
"Olive Garden Italian Restaurant","Tampa","486","144","3.20"
"Outback Steakhouse","Tampa","485","144","3.23"
